saved_frame_id,original_frame_index,time_sec,frame_file,crop_file,panel_mask_file,hotspot_mask_file,hotspot_overlay_file,x1,y1,x2,y2,panel_coverage,max_vertical_gap_ratio,junction_detected,laplacian_sharpness,sobel_sharpness,mean_intensity,median_intensity,max_intensity,min_intensity,std_intensity,dynamic_range,p90_intensity,p95_intensity,p99_intensity,hotspot_contrast_p95,hotspot_contrast_max,hot_area_percentage,hotspot_threshold_intensity,hotspot_grid,hotspot_pixel_count,sharp_enough,panel_coverage_ok,junction_ok,usable_frame,hotspot_detected
10,440,14.681333333333333,frame_0010_t_14.7s.jpg,crop_0010_t_14.7s.jpg,mask_0010_t_14.7s.jpg,hotspot_mask_0010_t_14.7s.jpg,hotspot_overlay_0010_t_14.7s.jpg,0,135,640,410,0.8110738636363637,0.009375,False,611.8785393457839,53.19180109629292,163.10951,166.0,242.0,41.0,20.86555,201.0,183.0,185.0,189.0,19.0,76.0,0.06573776348695963,185.0,R2C3,4233,False,True,True,False,False
11,484,16.149466666666665,frame_0011_t_16.1s.jpg,crop_0011_t_16.1s.jpg,mask_0011_t_16.1s.jpg,hotspot_mask_0011_t_16.1s.jpg,hotspot_overlay_0011_t_16.1s.jpg,0,135,640,410,0.8164261363636364,0.0078125,False,587.140770557722,51.19917281053131,160.95656,163.0,244.0,21.0,19.791048,223.0,180.0,183.0,189.0,20.0,81.0,0.05646839398431356,183.0,R2C2,5444,False,True,True,False,False
12,528,17.6176,frame_0012_t_17.6s.jpg,crop_0012_t_17.6s.jpg,mask_0012_t_17.6s.jpg,hotspot_mask_0012_t_17.6s.jpg,hotspot_overlay_0012_t_17.6s.jpg,0,135,640,410,0.8219147727272728,0.00625,False,624.4149027252067,52.779667871153165,160.52881,164.0,240.0,42.0,19.740112,198.0,179.0,182.0,186.0,18.0,76.0,0.06738699129665346,182.0,R2C1,4656,False,True,True,False,False
13,572,19.085733333333334,frame_0013_t_19.1s.jpg,crop_0013_t_19.1s.jpg,mask_0013_t_19.1s.jpg,hotspot_mask_0013_t_19.1s.jpg,hotspot_overlay_0013_t_19.1s.jpg,0,135,640,410,0.8262670454545454,0.0078125,False,631.3023568490444,48.435341060262935,161.33824,163.0,238.0,51.0,20.003447,187.0,182.0,184.0,188.0,21.0,75.0,0.07402542926497184,184.0,R2C1,4985,False,True,True,False,False
14,616,20.553866666666668,frame_0014_t_20.6s.jpg,crop_0014_t_20.6s.jpg,mask_0014_t_20.6s.jpg,hotspot_mask_0014_t_20.6s.jpg,hotspot_overlay_0014_t_20.6s.jpg,0,135,640,410,0.7365454545454545,0.13125,True,711.700752088843,56.40142259364822,162.84363,166.0,247.0,31.0,20.374176,216.0,183.0,186.0,191.24,20.0,81.0,0.05294988891631696,187.0,R2C2,2795,False,True,False,False,False
15,660,22.022000000000002,frame_0015_t_22.0s.jpg,crop_0015_t_22.0s.jpg,mask_0015_t_22.0s.jpg,hotspot_mask_0015_t_22.0s.jpg,hotspot_overlay_0015_t_22.0s.jpg,0,135,640,410,0.7411306818181819,0.09375,True,1055.8380161487605,63.721473805153984,171.62967,175.0,241.0,33.0,23.20267,208.0,195.0,198.0,202.0,23.0,66.0,0.05517521600134929,199.0,R2C3,4207,True,True,False,False,False
16,704,23.490133333333333,frame_0016_t_23.5s.jpg,crop_0016_t_23.5s.jpg,mask_0016_t_23.5s.jpg,hotspot_mask_0016_t_23.5s.jpg,hotspot_overlay_0016_t_23.5s.jpg,0,135,640,410,0.7455113636363636,0.13125,True,743.1112910472302,56.200024162146,174.74799,182.0,232.0,30.0,24.07742,202.0,198.0,201.0,203.0,19.0,50.0,0.06795975916469782,201.0,R2C3,3748,False,True,False,False,False
17,748,24.958266666666667,frame_0017_t_25.0s.jpg,crop_0017_t_25.0s.jpg,mask_0017_t_25.0s.jpg,hotspot_mask_0017_t_25.0s.jpg,hotspot_overlay_0017_t_25.0s.jpg,0,135,640,410,0.8459659090909091,0.009375,False,621.3698342897405,47.44249590970115,162.4262,164.0,243.0,62.0,17.647594,181.0,181.0,183.0,184.0,19.0,79.0,0.060420444623547585,183.0,R2C3,4503,False,True,True,False,False
18,792,26.4264,frame_0018_t_26.4s.jpg,crop_0018_t_26.4s.jpg,mask_0018_t_26.4s.jpg,hotspot_mask_0018_t_26.4s.jpg,hotspot_overlay_0018_t_26.4s.jpg,0,135,640,410,0.8404318181818182,0.0078125,False,601.7772498889141,46.18064828078292,160.00272,159.0,228.0,46.0,20.01746,182.0,192.0,195.0,198.0,36.0,69.0,0.06199464560967036,195.0,R2C3,5490,False,True,True,False,True
19,836,27.894533333333335,frame_0019_t_27.9s.jpg,crop_0019_t_27.9s.jpg,mask_0019_t_27.9s.jpg,hotspot_mask_0019_t_27.9s.jpg,hotspot_overlay_0019_t_27.9s.jpg,0,135,640,410,0.8300454545454545,0.009375,False,567.9694580804494,46.59161473341755,155.38205,151.0,215.0,19.0,27.518019,196.0,192.0,196.0,199.0,45.0,64.0,0.05389901976890641,196.0,R2C3,4628,False,True,True,False,True
20,880,29.362666666666666,frame_0020_t_29.4s.jpg,crop_0020_t_29.4s.jpg,mask_0020_t_29.4s.jpg,hotspot_mask_0020_t_29.4s.jpg,hotspot_overlay_0020_t_29.4s.jpg,0,135,640,410,0.7992613636363637,0.00625,False,470.2116294121578,47.88776850806712,159.31215,167.0,206.0,31.0,30.35938,175.0,194.0,197.0,200.0,30.0,39.0,0.05185896068813535,198.0,R2C3,2984,False,True,True,False,False
21,924,30.8308,frame_0021_t_30.8s.jpg,crop_0021_t_30.8s.jpg,mask_0021_t_30.8s.jpg,hotspot_mask_0021_t_30.8s.jpg,hotspot_overlay_0021_t_30.8s.jpg,0,135,640,410,0.7885909090909091,0.009375,False,791.0407781068893,51.032075411403056,160.07825,166.0,219.0,12.0,26.389393,207.0,189.0,192.0,195.36,26.0,53.0,0.0620929160182143,192.0,R2C3,4637,False,True,True,False,False
22,968,32.29893333333333,frame_0022_t_32.3s.jpg,crop_0022_t_32.3s.jpg,mask_0022_t_32.3s.jpg,hotspot_mask_0022_t_32.3s.jpg,hotspot_overlay_0022_t_32.3s.jpg,0,135,640,410,0.7977272727272727,0.009375,False,729.194027055656,49.175576622386295,158.8749,164.0,237.0,23.0,26.724478,214.0,188.0,192.0,195.0,28.0,73.0,0.05304131054131054,192.0,R2C3,3743,False,True,True,False,False
23,1012,33.767066666666665,frame_0023_t_33.8s.jpg,crop_0023_t_33.8s.jpg,mask_0023_t_33.8s.jpg,hotspot_mask_0023_t_33.8s.jpg,hotspot_overlay_0023_t_33.8s.jpg,0,135,640,410,0.7970965909090909,0.009375,False,677.6884764898955,48.65919365499569,159.79974,166.0,235.0,18.0,26.790125,217.0,189.0,192.0,195.0,26.0,69.0,0.05962691301527561,192.0,R2C3,4168,False,True,True,False,False
24,1056,35.2352,frame_0024_t_35.2s.jpg,crop_0024_t_35.2s.jpg,mask_0024_t_35.2s.jpg,hotspot_mask_0024_t_35.2s.jpg,hotspot_overlay_0024_t_35.2s.jpg,0,135,640,410,0.7829829545454545,0.053125,False,594.0145636565082,51.03193767694503,164.15517,167.0,201.0,47.0,21.483032,154.0,190.0,194.0,196.0,27.0,34.0,0.05794419650956061,194.0,R2C3,5265,False,True,True,False,False
25,1100,36.70333333333333,frame_0025_t_36.7s.jpg,crop_0025_t_36.7s.jpg,mask_0025_t_36.7s.jpg,hotspot_mask_0025_t_36.7s.jpg,hotspot_overlay_0025_t_36.7s.jpg,0,135,640,410,0.7990284090909091,0.0125,False,520.821207144854,50.611050915942016,158.32274,160.0,199.0,56.0,24.297232,143.0,189.0,192.0,195.0,32.0,39.0,0.06311642691052344,192.0,R2C3,5872,False,True,True,False,True
26,1144,38.17146666666667,frame_0026_t_38.2s.jpg,crop_0026_t_38.2s.jpg,mask_0026_t_38.2s.jpg,hotspot_mask_0026_t_38.2s.jpg,hotspot_overlay_0026_t_38.2s.jpg,0,135,640,410,0.7919488636363636,0.0125,False,512.6020122706611,47.4773922938296,156.03249,160.0,203.0,40.0,24.330564,163.0,186.0,190.0,194.0,30.0,43.0,0.058558073796660996,190.0,R2C2,4519,False,True,True,False,False
27,1188,39.6396,frame_0027_t_39.6s.jpg,crop_0027_t_39.6s.jpg,mask_0027_t_39.6s.jpg,hotspot_mask_0027_t_39.6s.jpg,hotspot_overlay_0027_t_39.6s.jpg,0,135,640,410,0.7874772727272727,0.0125,False,474.8274080525569,46.61119015860517,152.19492,154.0,190.0,29.0,19.957464,161.0,177.0,182.0,187.0,28.0,36.0,0.05508816993275419,182.0,R2C2,5028,False,True,True,False,False
28,1232,41.107733333333336,frame_0028_t_41.1s.jpg,crop_0028_t_41.1s.jpg,mask_0028_t_41.1s.jpg,hotspot_mask_0028_t_41.1s.jpg,hotspot_overlay_0028_t_41.1s.jpg,0,135,640,410,0.7538920454545455,0.015625,False,474.18000351623846,43.90901847022653,147.0277,151.0,185.0,52.0,20.747086,133.0,172.0,176.0,181.3,25.0,34.0,0.054309077891246185,177.0,R2C1,3257,False,True,True,False,False
29,1276,42.57586666666667,frame_0029_t_42.6s.jpg,crop_0029_t_42.6s.jpg,mask_0029_t_42.6s.jpg,hotspot_mask_0029_t_42.6s.jpg,hotspot_overlay_0029_t_42.6s.jpg,0,135,640,410,0.5941761363636363,0.259375,True,671.4862187814762,60.34883048804315,150.5039,154.0,186.0,44.0,17.9719,142.0,172.0,176.0,181.0,22.0,32.0,0.052660769782452786,176.0,R2C1,2830,False,False,False,False,False
30,1320,44.044000000000004,frame_0030_t_44.0s.jpg,crop_0030_t_44.0s.jpg,mask_0030_t_44.0s.jpg,hotspot_mask_0030_t_44.0s.jpg,hotspot_overlay_0030_t_44.0s.jpg,0,135,640,410,0.4862556818181818,0.415625,True,2411.1448070165293,95.73980593376852,162.49803,164.0,232.0,10.0,18.773537,222.0,183.0,185.0,187.0,21.0,68.0,0.05787499561818628,185.0,R2C1,3123,True,False,False,False,False
